posicion,nombre,edad,puntos,pais,enlace,id,altura,fecha_nacimiento,peso,lugar_nacimiento,derecha,reves
790,Martin Landaluce,17,27,ESP,/es/players/martin-landaluce/l0il/overview,l0il,191cm,2006.01.08,80Kg,Madrid España,Diestro,Dos Manos
789,Matthias Bachinger,36,27,GER,/es/players/matthias-bachinger/bc65/overview,bc65,188cm,1987.04.02,86Kg,"Munich, Germany",Diestro,Dos Manos
788,Henry Patten,27,27,GBR,/es/players/henry-patten/p0g6/overview,p0g6,198cm,1996.05.06,90Kg,,Zurdo,Dos Manos
785,Jeremy Jin,19,28,AUS,/es/players/jeremy-jin/j0d4/overview,j0d4,178cm,2004.06.27,75Kg,,Diestro,Dos Manos
784,Johan Alexander Rodriguez Rodriguez,19,28,COL,/es/players/johan-alexander-rodriguez-rodriguez/r0f1/overview,r0f1,173cm,2003.09.26,56Kg,,Diestro,Dos Manos
783,Jonathan Mridha,28,28,SWE,/es/players/jonathan-mridha/mm78/overview,mm78,183cm,1995.04.08,75Kg,,Diestro,Dos Manos
782,Yunseok Jang,20,28,KOR,/es/players/yunseok-jang/j0cw/overview,j0cw,180cm,2003.05.06,75Kg,,Diestro,Desconocido
781,Christian Sigsgaard,26,28,DEN,/es/players/christian-sigsgaard/sy00/overview,sy00,188cm,1997.03.14,88Kg,,Diestro,Una Mano
780,Darian King,31,28,BAR,/es/players/darian-king/kc86/overview,kc86,188cm,1992.04.26,77Kg,,Diestro,Dos Manos
778,Andreas Seppi,39,28,ITA,/es/players/andreas-seppi/sa93/overview,sa93,191cm,1984.02.21,78Kg,"Bolzano, Italia",Diestro,Dos Manos
777,Konstantin Kravchuk,38,28,RUS,/es/players/konstantin-kravchuk/k776/overview,k776,191cm,1985.02.23,80Kg,"Moscú, Rusia",Diestro,Dos Manos
775,Karan Singh,20,29,IND,/es/players/karan-singh/s0ri/overview,s0ri,188cm,2003.06.30,78Kg,,Diestro,Dos Manos
774,Gabriele Pennaforti,22,29,ITA,/es/players/gabriele-pennaforti/p0jg/overview,p0jg,191cm,2000.09.14,85Kg,,Diestro,Dos Manos
773,Ignacio Carou,23,29,URU,/es/players/ignacio-carou/c09g/overview,c09g,178cm,1999.07.12,70Kg,,Diestro,Dos Manos
772,Alexander Donski,24,29,BUL,/es/players/alexander-donski/dh46/overview,dh46,188cm,1998.08.01,80Kg,,Diestro,Dos Manos
771,Diego Augusto Barreto Sanchez,21,29,ESP,/es/players/diego-augusto-barreto-sanchez/b0hf/overview,b0hf,183cm,2002.04.18,83Kg,,Zurdo,Dos Manos
770,Dominik Boehler,27,29,GER,/es/players/dominik-boehler/bt42/overview,bt42,178cm,1996.02.21,67Kg,,Diestro,Dos Manos
766,Enzo Wallart,26,29,FRA,/es/players/enzo-wallart/w749/overview,w749,185cm,1997.02.12,76Kg,,Diestro,Dos Manos
765,Sora Fukuda,25,29,JPN,/es/players/sora-fukuda/f965/overview,f965,180cm,1997.10.03,72Kg,,Zurdo,Dos Manos
764,Filip Horansky,30,29,SVK,/es/players/filip-horansky/ha28/overview,ha28,191cm,1993.01.07,77Kg,"Piestany, Slovakia",Diestro,Dos Manos
763,Yuta Kawahashi,25,29,JPN,/es/players/yuta-kawahashi/k0ak/overview,k0ak,175cm,1998.01.26,65Kg,,Diestro,Dos Manos
760,Luigi Sorrentino,25,30,ITA,/es/players/luigi-sorrentino/s0ba/overview,s0ba,185cm,1998.06.18,75Kg,,Diestro,Dos Manos
759,Jake Delaney,26,30,AUS,/es/players/jake-delaney/dc38/overview,dc38,188cm,1997.05.14,80Kg,,Diestro,Dos Manos
